question_id;context_question;question_text;modelantwoord_deel1_prefix;modelantwoord_deel1_completion;modelantwoord_deel2_prefix;modelantwoord_deel2_completion;student_id;antwoord_deel1_prefix;antwoord_deel1_completion;antwoord_deel2_prefix;antwoord_deel2_completion;ai_score_deel1;ai_score_deel2;ai_score_total;ai_confidence;deel1_light_highlight;deel1_dark_highlight;deel2_light_highlight;deel2_dark_highlight;pt1_similar_right;pt1_similar_wrong;pt1_sim_response_1;pt1_sim_response_score_1;pt1_sim_response_2;pt1_sim_response_score_2;pt1_sim_response_3;pt1_sim_response_score_3;pt2_similar_right;pt2_similar_wrong;pt2_sim_response_1;pt2_sim_response_score_1;pt2_sim_response_2;pt2_sim_response_score_2;pt2_sim_response_3;pt2_sim_response_score_3;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;0;De welvaart op Bassa stijgt, omdat;Omdat hij nu wel bananen heeft op zijn eiland dus hieraan gaat verdienen dus meer gaat hebben. dus een hogere welvaart want hij heeft nu meer te besteden.;De welvaart op Cubo stijgt, omdat;Cubo verdiend nu de ananassen in ruil voor de bananen zodat cubo nu ook meer kan gaan verdienen door de export van de bananen. dus ook een hogere welvaart want ze hebben dan meer te besteden. nu zal krijgen want ze hebben letterlijk geruild voor iets waar ze beide wat aan gaan hebben en aan zullen gaan verdienen.;1;1;2;85;hogere, meer, besteden;bananen, welvaart;meer, Cubo, hogere;bananen, welvaart, verdienen;7;3;"omdat zij bananen naar hun eiland krijgen, die de mensen dan kunnen kopen. dan wordt de welvaart groter.	";1;"omdat hij toch weer bananen krijgt en handeld met een ander land dus een betere economie	";1;omdat ze nu bananen op hun eiland hebben en dus stijgt de welvaart door dat;0;8;2;"Omdat Cubo nu ananassen hebben en bananen, en omdat ze geld verdienen door hun inport en export	";1;Omdat Cubo ananassen ontvangt tegen het ruilen van Cubo's bananen.\r\nNu kunnen de inwoners makkelijker in hun behoeften voorzien, en gaat de welvaart omhoog.;1;Ze exporteren hun bananen naar Cubo en ze importeren hun ananassen waardoor hn welvaart stijgt. Omdat ze aan het exporteren en importeren zijn stijgt de welvaart;0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;1;De welvaart op Bassa stijgt, omdat;omdat zij nu een ander eiland hebben waarmee zij kunnen handelen daardoor kan er meer gehandeld worden dus moet er ook meer geproduceerd worden doordat er meer geproduceerd moet worden is er ook meer werkgelegenheid dus minder armoede op het eiland. ;De welvaart op Cubo stijgt, omdat;er meer gehandeld kan worden met bassa hierdoor kan hun overvloed aan bananen geruild worden voor een product/middel die het eiland juist te weinig heeft hierdoor kan cubo meer verschillende middelen/producten verbruiken op het eiland. doordat er dus meer middelen op het eiland komen kan er dus ook meer verkocht worden aan de bewoners van het eiland en dus ook meer economische welvaart binnen het eiland;1;1;2;85;minder, armoede;meer, werkgelegenheid, geproduceerd;meer, economische, welvaart, cubo;overvloed, bananen;6;4;"de banen op het eiland ook weer verkocht kunnen worden omdat de vraag hoog is maar het aanbod laag	";1;"omdat ze nu meer goederen op hun eiland hebben dus meer kunnen consumeren	";1;omdat zij hebben geimporteerd van uit cubo en nu minder armoede is omdat ze de annasen kunnen verkopen in hun eiland;0;8;2;omdat er een nieuwe product komt wat ze kunnen ruilen voor die grote aantal bananen die worden geproduceerd op hun eiland zonder extra kosten en dan door kunnen verkopen aan andere bewoners van het eiland;1;"Dit land verkoopt producten (bananen) aan het andere eiland, zelf hebben ze genoeg van dit product dus ze proberen het voor meer geld te verkopen dan dat ze op hun eigen eiland doen.	";1;omdat hun inwoners nu wel weer bananen hebben en daarom banaan daar dus goed verkocht word en het eiland weer meer verdient;0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;2;De welvaart op Bassa stijgt, omdat;doordat ze zulke producten importeren verdienen hun weer geld van hun eigen inwoners want die kopen hetweer en daardoor verdient het land weer geld en daardoor stijgt de welvaard want mischien kan dat land geen banan produceren en door de import krijgen ze de producten die ze niet hebben in hun eigen land en daardoor kopen weer inwoners van ze eigen land weer de bananen;De welvaart op Cubo stijgt, omdat;doordat landen producten exporteren onstaat er meer werkgelegenheid want er moet gebroduceerd worden om te exporteren en er komt geld naar binnen en dat maakt ook de welvaard beter in een land ;1;1;2;74;importeren, inwoners, verdient, welvaard, geen;banan, bananen, stijgt;producten, geld;meer, werkgelegenheid, welvaard, beter;6;4;Hun geld verdiennen met het exporten van hun product ( bananen);0;ze die bananen importeren naar hun eigen eiland en daar weer geld aan verdienen;1;"want hun krijgen de bananen die ze in hun eigen economie weer kunnen verkopen	";1;9;1;"Export er voor zorgt dat er meer mensen werk hebben dus er zijn minder werklozen. Ze hebben daardoor ook ananassen	";1;omdat ze daar nu meer inkomen hebben door de export;1;"door te exporteren stijgt de welvaart	";0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;3;De welvaart op Bassa stijgt, omdat;"de welvaartt op bassa stijgt, omdat ze daar geen bananen heben maar waneer ze gaan inpoteren van cubo dan willen meer mensen die bananen hebben op bassa omdat het daar niet groeit en bij cubo wel 
en ze verdienen ook omdat zei dan weer annanassen exporteren aan cubo ";De welvaart op Cubo stijgt, omdat;de welvaart op cubo stijgt, omdat zei exeporten aan bassa bannane dus ze verdienen der wat op en ze inporteren annanassen van bassa dus ze verdienen alle twee der wat op dus de welvaart stijgt dus hoe meer vraag op hun eiland hoe meer ze kunnen verkopen dus ook meer geld;1;1;2;82;geen, bassa, omdat;bananen, welvaartt, stijgt;meer, cubo, inporteren, verkopen;welvaart, stijgt, verdienen;7;3;er bananen zijn en die hebben ze gekregen omdat ze hun ananassen ruilen voor bananen uit Cubo waardoor ze handelen met elkaar en de vraag naar bananen stijgt en daardoor gaat de welvaart stijgen;1;"omdat ze nu meer bananen krijgen wat ze eerst niet hadden dus gaan veel menen het kopen dus steigt de welvaart	";1;omdat ze bananen importeren van cubo en dat weer verkopen voor een hogere prijs en daardoor een hoge welvaart heeft;0;7;3;het zelfde bij bassa ze krijgen meer producten mensen gaan het kopen cubo krijgt geld de welvaart stijgt;1;"	de welvaart op cubo stijgt omdat ze bananen exporteren die ze genoeg hebben en daar dan annassen voor terug krijgen die ze niet hebben waardoor ze dan meer producten hebben en zo meer te kiezen dus dan word je welvaard breeder en stijgt het	";1;"op cubo stijgt de welvaart omdat ze geld verdiennen aan het verkopen van de bananen aan bassa	";0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;4;De welvaart op Bassa stijgt, omdat;De fruitsoort is daar 'nieuw' gekomen, omdat het daar niet groeit is het populair geworden en mensen willen het kopen. Doordat het er veel gekocht wordt gaat het daar ook goed met het economie, en ook met de welvaart want iedereeen doet dan met plezier zijn werk. Er komen nu ook meer producten die je kan maken met ananassen.;De welvaart op Cubo stijgt, omdat;Voor Cubo is het eigenlijk een beetje hetzelfde, er is iets nieuws of het groeide amper dus konden ze het ook minder krijgen. Omdat er er nu meer van is is het ook populair en de bedrijven kunnen dan hun werk doen en dingen maken van de bananen.;1;0;1;78;fruitsoort, nieuw, niet, groeit, mensen, kopen;economie, welvaart;amper, populair, bedrijven;bananen, groeide, minder;6;4;Ze hebben daar meestal ananassen, de welvaart stijgt omdat ze een keer iets nieuws hebben om te proberen.;0;de mensen daar nu ananassen kunnen kopen en daardoor hun koopkracht sterker word dat lijdt naar een betere welvaart;0;ze nieuwe soort fruit hebben en die ze kunnen kopen en verkopen nu;1;5;5;Door dat Cubo veel bananen hebben kunnen ze het verkopen en maken winst waardoor ook de welvaart stijgt. En doordat Cubo veel bananen heeft hebben andere landen ook intresse om te handelen met Cubo.;1;Cubo nu bananen kan verkopen en nu meer geld verdiend daardoor;1;"cubo krijgt bananen die ze eerst niet hadden hierdoor krijgen ze hogere welvaart omdat ze dit product nog niet hadden	";0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;5;De welvaart op Bassa stijgt, omdat;ze hebben meer bananen dus die zullen meer gaan verkopen waardoor de mensen een hogere omzet krijgen en daardoor werknemers meer loon en omdat ze meer loon hebben kunnen ze meer goederen of diensten kopen en dan stijgt de welvaart ;De welvaart op Cubo stijgt, omdat;ze ontvangen geld door de export van producten waardoor het land meer geld krijgt en mensen meer moeten werken zodat ze meer kunnen exporteren en als mensen meer gaan werken en het land heeft meer geld zullen de lonen stijgen waardoor ze meer goederen of diensten kunnen kopen en daardoor stijgt de welvaart;1;1;2;95;meer, werknemers, loon, hogere;bananen, welvaart, stijgt;meer, producten, mensen, goederen;stijgen, stijgt, welvaart;7;3;Zij kunnen nu bananen krijgen om die weer verder te verkopen onder hun mensen. Hierdoor krijgen de mensen die de bananen verkopen meer geld. Meer geld is meer koopkracht en meer koopkracht is meer welvaart.;1;Er meer inkomsten komen door de bananen dus dat levert meer geld en werk op;1;ze kunnen meer bananen verkopen. Ze verdienen hierdoor dus meer.;0;8;2;"Ze krijgen geld voor hun export, waardoor de inwoners meer inkomens hebben en ze meer koopkracht hebben, waardoor de welvaart zal stijgen.	";1;"zij exporteren bananen. Er komt inkomen binnen. als je inkomen binnenkrijgt kun je meer eten en kleding kopen. Zo stijgt de welvaart.	";1;omdat ze meer exporteren dus word daardoor de welvaart groter er is veel vraag nu naar.;1;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;6;De welvaart op Bassa stijgt, omdat;het volk van bassa geld gaat uitgeven aan de importeur in dat land dus dat betekent dat de welvaart ook stijgt waardoor de importeur veel geld verdient en hij daardoor weer geld uit gaat geven bij andere mensen.En ze verdienen geld aan het verkopen van de vele annasen die de boeren hebben ;De welvaart op Cubo stijgt, omdat;Ze bananen gaan verkopen aan Bassa en daar kunnen veel mesne op cuba aan verdienen zoals de boeren en de importeur zelf en die gaan dan weer geld uitgeven aan mensen op het eiland cuba.En door ananassen te importeren kunnen zie die verkopen aan het eigen volk waardoor meer mensen geld verdienen ;0;1;1;81;welvaart, stijgt, bassa, boeren;importeur, geld;importeren, meer, geld;bananen, verdienen, cuba;4;6;"ze annanassen exporteren en zo dus hun inkomen groeit	";1;"ze banen geimport krijgen en dan kunnen ze het weer door verkopen en daardoor gaat hun welvaart stijgen	";0;ze iets exporteren en daar verdienen ze geld aan;0;5;5;ze bananen kunnen verkopen aan bassa , dit zorgt ook er voor dat er meer werkgelegenheid komt en dat cuba annanasen kunt verkopen in hun land;0;doordat Cuba bananen heeft kan dat eiland hun bananen exporteren naar Bassa zo heeft Bassa de bananen en Cubo de ananassen waardoor allebei hun welvaart stijgt.;0;"Mensen uit Cubo gaan bananen telen en exporteren, hierdoor verdienen ze geld en stijgt hun welvaart. Van dat geld kunnen zij de geimporteerde ananasses van Bassa kopen.	";1;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;7;De welvaart op Bassa stijgt, omdat;Als hun weer bananen krijgen zijn ze weer welvarend omdat ze van alle producten die ze nodig zijn voorzien zijn, plus de export naar Cubo is ook fijn doordat ze het andere eiland geholpen hebben, en mischien vaker kunnen exporteren naar Cubo. ook kunnen ze nu zelf opnieuwe bananen kweken, en zelf hun eiland onderhouden.;De welvaart op Cubo stijgt, omdat;De welvaart stijgen lijkt heel erg op die van Bassa, ze zijn weer van alle   producten voorzien wat ze nodig hebben en kunnen nieuwe planten en weer voor hun eigen eiland in hun eentje zorgen.;1;1;2;86;kweken, eiland, geholpen, omdat;bananen, welvarend;cubo, meer, export, banen, eten;welvaart, stijgt, stijgen;8;2;omdat ze bananen naar Cubo kunnen exporteren dus dat zorgt voor welvaart.;0;omdat ze nu ook bananen op hun eiland hebben door de export van Cubo;1;"omdat mensen daar weer bananen kunnen kopen die geexporteerd worden van Cubo.	";1;6;4;ze geld krijgen van Bassa door dat geld stijgt de welvaart;1;Ze verkopen banen door aan Bassa waardoor hun geld verdienen waardoor de welvaart stijgt;1;omdat hun nu meer kunnen produceren en weer kunnen exporteren naar Bassa en de exportprijs is dan ook gestegen;0;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;8;De welvaart op Bassa stijgt, omdat;hun exporteren de ananassen naar Cubo maar hun krijgen er ook iets voor terug hun hadden namelijk geen bananen meer maar die krijgen un nu wel van Cubo een super deal. En de welvaart stijgt hierdoor omdat ze weer bananen krijgen en die kunnen eten zodat ze allemaal gezondblijven en blij worden.  ;De welvaart op Cubo stijgt, omdat;Cubo exporteert de bananen naaa Bassa waardoor Bassa blij wordt. En Cubo kijgen nu annanassen dus dit is precies hetzelfde. In dit land gaat de welvaart omhoog omdat ze iets niet hadden maar nu weer wel de welvaart gaat dus ook omhoog door blijheid en gezondheid. de landen worden ook rijker want ze hebben meer voedsel om te verkopen en variatie.;1;1;2;78;geen, Cubo, blij, ananassen;bananen, welvaart, stijgt;Bassa, rijker, meer;bananen, Cubo, welvaart, omhoog;7;3;hun ananassen gaan exporteren naar Cubo en zelf daarvoor bananen terug importeren (meer productie is meer werkgelegenheid is hogere nationale inkomen) ze doen aan ruilvoet;1;omdat ze nu weer bananen hebben, en omdat ze geld krijgen van cubo voor de ananasen en zo kunnen ze weer invensteren in andere dingen.;1;"Ze exporteren hun ananassen naar Cubo en ze importeren bananen waardoor hun welvaart stijgt. Op die manier kan de wevaart stijgen omdat ze aan het importeren en exporteren zijn	";0;7;3;"Cubo krijgt bananen van Bassa en doordat er dan meer keuze is is er srake van stijging in de welvaart.	";0;De welvaart op Cubo stijgt omdat ze bananen naar Bassa sturen waardoor de omzet stijgt want ze verdienen veel omdat ze bananen exporteren naar Bassa.;1;"Er bananen worden gexporteerd naar Basso maken ze winste daardoor word het land rijker en kunnen ze het geld in bepaalde dingen inversteren bv AOW. En dan wordt de welvaart ook beter.	";1;;;;;;;;;;;;
1;Op een dag komt een vissersboot uit Bassa een vissersboot uit Cubo tegen op volle zee. De visser uit Bassa vertelt dat er geen bananen op zijn eiland zijn, maar wel volop ananassen. De visser uit Cubo vertelt dat er geen ananassen op zijn eiland zijn, maar wel erg veel bananen. Ze komen op het idee om ananassen naar Cubo en bananen naar Bassa te exporteren. Door de export van bananen stijgt de welvaart op beide eilanden.;Leg uit dat de welvaart op beide eilanden stijgt door de export van bananen van Cubo naar Bassa.;De welvaart op Bassa stijgt, omdat;"
omdat de bewoners nu hun behoefte aan bananen kunnen vervullen.";De welvaart op Cubo stijgt, omdat;omdat de bewoners met de inkomsten uit de bananenexport meer goederen en diensten kunnen kopen en zo meer behoeften kunnen vervullen.;9;De welvaart op Bassa stijgt, omdat;ALS Bassa goed in is met het anassen kweken, waardoor ze veel producten hebben waar een ander graag ook van wat wilt. DAN lever je goede export van de ananassen. DUS is er veel vraag eraan en zo heb je goede welvaart tussen de twee eilanden.;De welvaart op Cubo stijgt, omdat;ALS Cubo bananen heeft dat Bassa dus niet heeft. DAN onstaan is van goede handelings tussen deze twee eilanden. Wat een land niet heeft DUS zijn ze graag geintresseert om producten te willen exporteren. Er is spraken van een ruilvoet.;0;0;0;84;welvaart, kweken, anassen, ananassen, goede;Bassa;Cubo, Bassa, producten, exporteren;bananen, niet;3;7;doordat Bassa wel ananassen heeft kan hij dat exporteren naar Cubo waardoor hun welvaart stijgt;0;Bassa een grote hoeveelheid ananassen heeft die ze willen exporteren naar Cubo. Zo maken ze meer winst in de handel van ananassen met Cubo. Zo stijgt de welvaart op Bassa.;1;Bassa ananassen export naar Cubo waardoor ze daarmee winst maken maar ze krijgen er ook vissen inruil voor die hun weer kunnen verkopen of gebruiken op het eiland;0;5;5;"bananen verkopen aan Bassa, daarin ruil voor krijgen ze anassen omdat ze daar ook niets van hebben zorgt dit ook weer voor een betere handel in dit landmet andere landen	";1;"Bassa geen bananen heeft waardoor de export hoog is	";0;"Welvaart van eiland Cubo stijgt ook zij exporteren bananen aan eiland Bassa want hiervoor hadden ze helemaal niets	";1;;;;;;;;;;;;
