question_id;context_question;question_text;modelantwoord_deel1_prefix;modelantwoord_deel1_completion;modelantwoord_deel2_prefix;modelantwoord_deel2_completion;student_id;antwoord_deel1_prefix;antwoord_deel1_completion;antwoord_deel2_prefix;antwoord_deel2_completion;ai_score_deel1;ai_score_deel2;ai_score_total;ai_confidence;deel1_light_highlight;deel1_dark_highlight;deel2_light_highlight;deel2_dark_highlight;pt1_similar_right;pt1_similar_wrong;pt1_sim_response_1;pt1_sim_response_score_1;pt1_sim_response_2;pt1_sim_response_score_2;pt1_sim_response_3;pt1_sim_response_score_3;pt2_similar_right;pt2_similar_wrong;pt2_sim_response_1;pt2_sim_response_score_1;pt2_sim_response_2;pt2_sim_response_score_2;pt2_sim_response_3;pt2_sim_response_score_3
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;1;Student's part 1:;This is student 1's answer to part 1 of question 1.;Student's part 2:;This is student 1's answer to part 2 of question 1.;1;0;1;67;student;answer, concept;part, concept;second, model, answer;2;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;2;Student's part 1:;This is student 2's answer to part 1 of question 1.;Student's part 2:;This is student 2's answer to part 2 of question 1.;0;0;0;62;question, 1;answer, concept;part, concept;second, model, answer;3;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;3;Student's part 1:;This is student 3's answer to part 1 of question 1.;Student's part 2:;This is student 3's answer to part 2 of question 1.;1;0;1;53;first, part;answer, concept;part, concept;second, model, answer;4;1;First respons tesxt.;0;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;0;derde sim response…;1
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;4;Student's part 1:;This is student 3's answer to part 1 of question 1.;Student's part 2:;This is student 3's answer to part 2 of question 1.;1;0;1;53;first, part;answer, concept;part, concept;second, model, answer;4;1;First respons tesxt.;0;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;0;derde sim response…;1
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;5;Student's part 1:;This is student 4's answer to part 1 of question 1.;Student's part 2:;This is student 4's answer to part 2 of question 1.;0;0;0;55;first, part;answer, concept;part, concept;second, model, answer;5;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
1;aaaa;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;6;Student's part 1:;This is student 4's answer to part 1 of question 1.;Student's part 2:;This is student 4's answer to part 2 of question 1.;0;0;0;55;first, part;answer, concept;part, concept;second, model, answer;5;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;1;tweede response….;0;derde sim response…;1
2;aaaa;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;1;Student's part 1:;This is student 1's answer to part 1 of question 2.;Student's part 2:;This is student 1's answer to part 2 of question 2.;1;1;2;80;first, part;answer, concept;part, concept;second, model, answer;6;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;1;derde sim response…;1
2;aaaa;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;2;Student's part 1:;This is student 2's answer to part 1 of question 2.;Student's part 2:;This is student 2's answer to part 2 of question 2.;0;1;1;84;first, part;answer, concept;part, concept;second, model, answer;7;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;1;derde sim response…;1
2;aaaa;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;3;Student's part 1:;This is student 3's answer to part 1 of question 2.;Student's part 2:;This is student 3's answer to part 2 of question 2.;0;1;1;51;first, part;answer, concept;part, concept;second, model, answer;8;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;1;derde sim response…;1
2;aaaa;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;4;Student's part 1:;This is student 4's answer to part 1 of question 2.;Student's part 2:;This is student 4's answer to part 2 of question 2.;0;0;0;87;first, part;answer, concept;part, concept;second, model, answer;9;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1;5;5;eerste respons….;0;tweede response….;1;derde sim response…;1
